target_end_date,location,target_type
2021-01-01,DK,Hosps
2021-01-08,DK,Hosps
2021-01-15,DK,Hosps
2021-03-06,ES,Cases
2021-03-08,AT,Hosps
2021-03-08,BE,Hosps
2021-03-08,BG,Hosps
2021-03-08,CH,Hosps
2021-03-08,CY,Hosps
2021-03-08,CZ,Hosps
2021-03-08,DE,Hosps
2021-03-08,DK,Hosps
2021-03-08,EE,Hosps
2021-03-08,ES,Hosps
2021-03-08,FI,Hosps
2021-03-08,FR,Hosps
2021-03-08,GB,Hosps
2021-03-08,GR,Hosps
2021-03-08,HR,Hosps
2021-03-08,HU,Hosps
2021-03-08,IE,Hosps
2021-03-08,IS,Hosps
2021-03-08,IT,Hosps
2021-03-08,LI,Hosps
2021-03-08,LT,Hosps
2021-03-08,LU,Hosps
2021-03-08,LV,Hosps
2021-03-08,MT,Hosps
2021-03-08,NL,Hosps
2021-03-08,NO,Hosps
2021-03-08,PL,Hosps
2021-03-08,PT,Hosps
2021-03-08,RO,Hosps
2021-03-08,SE,Hosps
2021-03-08,SI,Hosps
2021-03-08,SK,Hosps
2021-03-13,BE,Hosps
2021-03-13,DK,Hosps
2021-03-13,EE,Hosps
2021-03-13,ES,Hosps
2021-03-13,FR,Hosps
2021-03-13,GB,Hosps
2021-03-13,HR,Hosps
2021-03-13,IE,Hosps
2021-03-13,NL,Hosps
2021-03-13,NO,Hosps
2021-03-13,SI,Hosps
2021-03-15,AT,Hosps
2021-03-15,BE,Hosps
2021-03-15,BG,Hosps
2021-03-15,CH,Hosps
2021-03-15,CY,Hosps
2021-03-15,CZ,Hosps
2021-03-15,DE,Hosps
2021-03-15,DK,Hosps
2021-03-15,EE,Hosps
2021-03-15,ES,Hosps
2021-03-15,FI,Hosps
2021-03-15,FR,Hosps
2021-03-15,GB,Hosps
2021-03-15,GR,Hosps
2021-03-15,HR,Hosps
2021-03-15,HU,Hosps
2021-03-15,IE,Hosps
2021-03-15,IS,Hosps
2021-03-15,IT,Hosps
2021-03-15,LI,Hosps
2021-03-15,LT,Hosps
2021-03-15,LU,Hosps
2021-03-15,LV,Hosps
2021-03-15,MT,Hosps
2021-03-15,NL,Hosps
2021-03-15,NO,Hosps
2021-03-15,PL,Hosps
2021-03-15,PT,Hosps
2021-03-15,RO,Hosps
2021-03-15,SE,Hosps
2021-03-15,SI,Hosps
2021-03-15,SK,Hosps
2021-03-20,DE,Cases
2021-03-20,FR,Cases
2021-03-20,LI,Cases
2021-03-20,SK,Cases
2021-03-20,AT,Deaths
2021-03-20,CH,Deaths
2021-03-20,CY,Deaths
2021-03-20,FI,Deaths
2021-03-20,FR,Deaths
2021-03-20,GB,Deaths
2021-03-20,LI,Deaths
2021-03-20,LT,Deaths
2021-03-20,BE,Hosps
2021-03-20,BG,Hosps
2021-03-20,CH,Hosps
2021-03-20,CY,Hosps
2021-03-20,CZ,Hosps
2021-03-20,DK,Hosps
2021-03-20,EE,Hosps
2021-03-20,ES,Hosps
2021-03-20,FR,Hosps
2021-03-20,GB,Hosps
2021-03-20,GR,Hosps
2021-03-20,HR,Hosps
2021-03-20,IE,Hosps
2021-03-20,IS,Hosps
2021-03-20,IT,Hosps
2021-03-20,LV,Hosps
2021-03-20,MT,Hosps
2021-03-20,NL,Hosps
2021-03-20,NO,Hosps
2021-03-20,PL,Hosps
2021-03-20,PT,Hosps
2021-03-20,SI,Hosps
2021-03-20,SK,Hosps
2021-03-22,AT,Hosps
2021-03-22,BE,Hosps
2021-03-22,BG,Hosps
2021-03-22,CH,Hosps
2021-03-22,CY,Hosps
2021-03-22,CZ,Hosps
2021-03-22,DE,Hosps
2021-03-22,DK,Hosps
2021-03-22,EE,Hosps
2021-03-22,ES,Hosps
2021-03-22,FI,Hosps
2021-03-22,FR,Hosps
2021-03-22,GB,Hosps
2021-03-22,GR,Hosps
2021-03-22,HR,Hosps
2021-03-22,HU,Hosps
2021-03-22,IE,Hosps
2021-03-22,IS,Hosps
2021-03-22,IT,Hosps
2021-03-22,LI,Hosps
2021-03-22,LT,Hosps
2021-03-22,LU,Hosps
2021-03-22,LV,Hosps
2021-03-22,MT,Hosps
2021-03-22,NL,Hosps
2021-03-22,NO,Hosps
2021-03-22,PL,Hosps
2021-03-22,PT,Hosps
2021-03-22,RO,Hosps
2021-03-22,SE,Hosps
2021-03-22,SI,Hosps
2021-03-22,SK,Hosps
2021-03-27,DE,Cases
2021-03-27,LI,Cases
2021-03-27,SK,Cases
2021-03-27,AT,Deaths
2021-03-27,CH,Deaths
2021-03-27,FI,Deaths
2021-03-27,GB,Deaths
2021-03-27,BE,Hosps
2021-03-27,BG,Hosps
2021-03-27,CH,Hosps
2021-03-27,CY,Hosps
2021-03-27,CZ,Hosps
2021-03-27,DK,Hosps
2021-03-27,EE,Hosps
2021-03-27,ES,Hosps
2021-03-27,FR,Hosps
2021-03-27,GB,Hosps
2021-03-27,GR,Hosps
2021-03-27,HR,Hosps
2021-03-27,IE,Hosps
2021-03-27,IS,Hosps
2021-03-27,IT,Hosps
2021-03-27,LV,Hosps
2021-03-27,MT,Hosps
2021-03-27,NL,Hosps
2021-03-27,NO,Hosps
2021-03-27,PL,Hosps
2021-03-27,PT,Hosps
2021-03-27,SI,Hosps
2021-03-27,SK,Hosps
2021-03-29,AT,Hosps
2021-03-29,BE,Hosps
2021-03-29,BG,Hosps
2021-03-29,CH,Hosps
2021-03-29,CY,Hosps
2021-03-29,CZ,Hosps
2021-03-29,DE,Hosps
2021-03-29,DK,Hosps
2021-03-29,EE,Hosps
2021-03-29,ES,Hosps
2021-03-29,FI,Hosps
2021-03-29,FR,Hosps
2021-03-29,GB,Hosps
2021-03-29,GR,Hosps
2021-03-29,HR,Hosps
2021-03-29,HU,Hosps
2021-03-29,IE,Hosps
2021-03-29,IS,Hosps
2021-03-29,IT,Hosps
2021-03-29,LI,Hosps
2021-03-29,LT,Hosps
2021-03-29,LU,Hosps
2021-03-29,LV,Hosps
2021-03-29,MT,Hosps
2021-03-29,NL,Hosps
2021-03-29,NO,Hosps
2021-03-29,PL,Hosps
2021-03-29,PT,Hosps
2021-03-29,RO,Hosps
2021-03-29,SE,Hosps
2021-03-29,SI,Hosps
2021-03-29,SK,Hosps
2021-04-03,FI,Cases
2021-04-03,SK,Cases
2021-04-03,AT,Deaths
2021-04-03,CH,Deaths
2021-04-03,CY,Deaths
2021-04-03,FI,Deaths
2021-04-03,GB,Deaths
2021-04-03,BE,Hosps
2021-04-03,BG,Hosps
2021-04-03,CH,Hosps
2021-04-03,CY,Hosps
2021-04-03,CZ,Hosps
2021-04-03,DK,Hosps
2021-04-03,EE,Hosps
2021-04-03,ES,Hosps
2021-04-03,FR,Hosps
2021-04-03,GB,Hosps
2021-04-03,GR,Hosps
2021-04-03,HR,Hosps
2021-04-03,IE,Hosps
2021-04-03,IS,Hosps
2021-04-03,IT,Hosps
2021-04-03,LV,Hosps
2021-04-03,MT,Hosps
2021-04-03,NL,Hosps
2021-04-03,NO,Hosps
2021-04-03,PL,Hosps
2021-04-03,PT,Hosps
2021-04-03,SI,Hosps
2021-04-03,SK,Hosps
2021-04-05,AT,Hosps
2021-04-05,BE,Hosps
2021-04-05,BG,Hosps
2021-04-05,CH,Hosps
2021-04-05,CY,Hosps
2021-04-05,CZ,Hosps
2021-04-05,DE,Hosps
2021-04-05,DK,Hosps
2021-04-05,EE,Hosps
2021-04-05,ES,Hosps
2021-04-05,FI,Hosps
2021-04-05,FR,Hosps
2021-04-05,GB,Hosps
2021-04-05,GR,Hosps
2021-04-05,HR,Hosps
2021-04-05,HU,Hosps
2021-04-05,IE,Hosps
2021-04-05,IS,Hosps
2021-04-05,IT,Hosps
2021-04-05,LI,Hosps
2021-04-05,LT,Hosps
2021-04-05,LU,Hosps
2021-04-05,LV,Hosps
2021-04-05,MT,Hosps
2021-04-05,NL,Hosps
2021-04-05,NO,Hosps
2021-04-05,PL,Hosps
2021-04-05,PT,Hosps
2021-04-05,RO,Hosps
2021-04-05,SE,Hosps
2021-04-05,SI,Hosps
2021-04-05,SK,Hosps
2021-04-10,DE,Cases
2021-04-10,FI,Cases
2021-04-10,LI,Cases
2021-04-10,SK,Cases
2021-04-10,AT,Deaths
2021-04-10,CH,Deaths
2021-04-10,CY,Deaths
2021-04-10,DE,Deaths
2021-04-10,FI,Deaths
2021-04-10,FR,Deaths
2021-04-10,GB,Deaths
2021-04-10,LT,Deaths
2021-04-10,BE,Hosps
2021-04-10,BG,Hosps
2021-04-10,CH,Hosps
2021-04-10,CY,Hosps
2021-04-10,CZ,Hosps
2021-04-10,DK,Hosps
2021-04-10,EE,Hosps
2021-04-10,ES,Hosps
2021-04-10,FR,Hosps
2021-04-10,GB,Hosps
2021-04-10,GR,Hosps
2021-04-10,HR,Hosps
2021-04-10,IE,Hosps
2021-04-10,IS,Hosps
2021-04-10,IT,Hosps
2021-04-10,LV,Hosps
2021-04-10,MT,Hosps
2021-04-10,NL,Hosps
2021-04-10,NO,Hosps
2021-04-10,PL,Hosps
2021-04-10,PT,Hosps
2021-04-10,SI,Hosps
2021-04-10,SK,Hosps
2021-04-12,AT,Hosps
2021-04-12,BE,Hosps
2021-04-12,BG,Hosps
2021-04-12,CH,Hosps
2021-04-12,CY,Hosps
2021-04-12,CZ,Hosps
2021-04-12,DE,Hosps
2021-04-12,DK,Hosps
2021-04-12,EE,Hosps
2021-04-12,ES,Hosps
2021-04-12,FI,Hosps
2021-04-12,FR,Hosps
2021-04-12,GB,Hosps
2021-04-12,GR,Hosps
2021-04-12,HR,Hosps
2021-04-12,HU,Hosps
2021-04-12,IE,Hosps
2021-04-12,IS,Hosps
2021-04-12,IT,Hosps
2021-04-12,LI,Hosps
2021-04-12,LT,Hosps
2021-04-12,LU,Hosps
2021-04-12,LV,Hosps
2021-04-12,MT,Hosps
2021-04-12,NL,Hosps
2021-04-12,NO,Hosps
2021-04-12,PL,Hosps
2021-04-12,PT,Hosps
2021-04-12,RO,Hosps
2021-04-12,SE,Hosps
2021-04-12,SI,Hosps
2021-04-12,SK,Hosps
2021-04-17,FI,Cases
2021-04-17,SK,Cases
2021-04-17,AT,Deaths
2021-04-17,CH,Deaths
2021-04-17,CY,Deaths
2021-04-17,FI,Deaths
2021-04-17,FR,Deaths
2021-04-17,GB,Deaths
2021-04-17,BE,Hosps
2021-04-17,BG,Hosps
2021-04-17,CH,Hosps
2021-04-17,CY,Hosps
2021-04-17,CZ,Hosps
2021-04-17,DK,Hosps
2021-04-17,EE,Hosps
2021-04-17,ES,Hosps
2021-04-17,FR,Hosps
2021-04-17,GB,Hosps
2021-04-17,GR,Hosps
2021-04-17,HR,Hosps
2021-04-17,IE,Hosps
2021-04-17,IS,Hosps
2021-04-17,IT,Hosps
2021-04-17,LV,Hosps
2021-04-17,MT,Hosps
2021-04-17,NL,Hosps
2021-04-17,NO,Hosps
2021-04-17,PL,Hosps
2021-04-17,PT,Hosps
2021-04-17,SI,Hosps
2021-04-17,SK,Hosps
2021-04-19,AT,Hosps
2021-04-19,BE,Hosps
2021-04-19,BG,Hosps
2021-04-19,CH,Hosps
2021-04-19,CY,Hosps
2021-04-19,CZ,Hosps
2021-04-19,DE,Hosps
2021-04-19,DK,Hosps
2021-04-19,EE,Hosps
2021-04-19,ES,Hosps
2021-04-19,FI,Hosps
2021-04-19,FR,Hosps
2021-04-19,GB,Hosps
2021-04-19,GR,Hosps
2021-04-19,HR,Hosps
2021-04-19,HU,Hosps
2021-04-19,IE,Hosps
2021-04-19,IS,Hosps
2021-04-19,IT,Hosps
2021-04-19,LI,Hosps
2021-04-19,LT,Hosps
2021-04-19,LU,Hosps
2021-04-19,LV,Hosps
2021-04-19,MT,Hosps
2021-04-19,NL,Hosps
2021-04-19,NO,Hosps
2021-04-19,PL,Hosps
2021-04-19,PT,Hosps
2021-04-19,RO,Hosps
2021-04-19,SE,Hosps
2021-04-19,SI,Hosps
2021-04-19,SK,Hosps
2021-04-24,LI,Cases
2021-04-24,SK,Cases
2021-04-24,AT,Deaths
2021-04-24,FI,Deaths
2021-04-24,GB,Deaths
2021-04-24,LI,Deaths
2021-04-24,BE,Hosps
2021-04-24,BG,Hosps
2021-04-24,CH,Hosps
2021-04-24,CY,Hosps
2021-04-24,CZ,Hosps
2021-04-24,DK,Hosps
2021-04-24,EE,Hosps
2021-04-24,ES,Hosps
2021-04-24,FR,Hosps
2021-04-24,GB,Hosps
2021-04-24,GR,Hosps
2021-04-24,HR,Hosps
2021-04-24,IE,Hosps
2021-04-24,IS,Hosps
2021-04-24,IT,Hosps
2021-04-24,LV,Hosps
2021-04-24,MT,Hosps
2021-04-24,NL,Hosps
2021-04-24,NO,Hosps
2021-04-24,PL,Hosps
2021-04-24,PT,Hosps
2021-04-24,SI,Hosps
2021-04-24,SK,Hosps
2021-04-26,AT,Hosps
2021-04-26,BE,Hosps
2021-04-26,BG,Hosps
2021-04-26,CH,Hosps
2021-04-26,CY,Hosps
2021-04-26,CZ,Hosps
2021-04-26,DE,Hosps
2021-04-26,DK,Hosps
2021-04-26,EE,Hosps
2021-04-26,ES,Hosps
2021-04-26,FI,Hosps
2021-04-26,FR,Hosps
2021-04-26,GB,Hosps
2021-04-26,GR,Hosps
2021-04-26,HR,Hosps
2021-04-26,HU,Hosps
2021-04-26,IE,Hosps
2021-04-26,IS,Hosps
2021-04-26,IT,Hosps
2021-04-26,LI,Hosps
2021-04-26,LT,Hosps
2021-04-26,LU,Hosps
2021-04-26,LV,Hosps
2021-04-26,MT,Hosps
2021-04-26,NL,Hosps
2021-04-26,NO,Hosps
2021-04-26,PL,Hosps
2021-04-26,PT,Hosps
2021-04-26,RO,Hosps
2021-04-26,SE,Hosps
2021-04-26,SI,Hosps
2021-04-26,SK,Hosps
2021-05-01,CY,Cases
2021-05-01,DE,Cases
2021-05-01,SK,Cases
2021-05-01,AT,Deaths
2021-05-01,CY,Deaths
2021-05-01,DE,Deaths
2021-05-01,FI,Deaths
2021-05-01,GB,Deaths
2021-05-01,BE,Hosps
2021-05-01,BG,Hosps
2021-05-01,CH,Hosps
2021-05-01,CY,Hosps
2021-05-01,CZ,Hosps
2021-05-01,DK,Hosps
2021-05-01,EE,Hosps
2021-05-01,ES,Hosps
2021-05-01,FR,Hosps
2021-05-01,GB,Hosps
2021-05-01,GR,Hosps
2021-05-01,HR,Hosps
2021-05-01,IE,Hosps
2021-05-01,IS,Hosps
2021-05-01,IT,Hosps
2021-05-01,LV,Hosps
2021-05-01,MT,Hosps
2021-05-01,NL,Hosps
2021-05-01,NO,Hosps
2021-05-01,PL,Hosps
2021-05-01,PT,Hosps
2021-05-01,SI,Hosps
2021-05-01,SK,Hosps
2021-05-03,AT,Hosps
2021-05-03,BE,Hosps
2021-05-03,BG,Hosps
2021-05-03,CH,Hosps
2021-05-03,CY,Hosps
2021-05-03,CZ,Hosps
2021-05-03,DE,Hosps
2021-05-03,DK,Hosps
2021-05-03,EE,Hosps
2021-05-03,ES,Hosps
2021-05-03,FI,Hosps
2021-05-03,FR,Hosps
2021-05-03,GB,Hosps
2021-05-03,GR,Hosps
2021-05-03,HR,Hosps
2021-05-03,HU,Hosps
2021-05-03,IE,Hosps
2021-05-03,IS,Hosps
2021-05-03,IT,Hosps
2021-05-03,LI,Hosps
2021-05-03,LT,Hosps
2021-05-03,LU,Hosps
2021-05-03,LV,Hosps
2021-05-03,MT,Hosps
2021-05-03,NL,Hosps
2021-05-03,NO,Hosps
2021-05-03,PL,Hosps
2021-05-03,PT,Hosps
2021-05-03,RO,Hosps
2021-05-03,SE,Hosps
2021-05-03,SI,Hosps
2021-05-03,SK,Hosps
2021-05-08,AT,Cases
2021-05-08,CY,Cases
2021-05-08,LI,Cases
2021-05-08,SK,Cases
2021-05-08,AT,Deaths
2021-05-08,CH,Deaths
2021-05-08,CY,Deaths
2021-05-08,FI,Deaths
2021-05-08,GB,Deaths
2021-05-08,BE,Hosps
2021-05-08,BG,Hosps
2021-05-08,CH,Hosps
2021-05-08,CY,Hosps
2021-05-08,CZ,Hosps
2021-05-08,DK,Hosps
2021-05-08,EE,Hosps
2021-05-08,ES,Hosps
2021-05-08,FR,Hosps
2021-05-08,GB,Hosps
2021-05-08,GR,Hosps
2021-05-08,HR,Hosps
2021-05-08,IE,Hosps
2021-05-08,IS,Hosps
2021-05-08,IT,Hosps
2021-05-08,LV,Hosps
2021-05-08,MT,Hosps
2021-05-08,NL,Hosps
2021-05-08,NO,Hosps
2021-05-08,PL,Hosps
2021-05-08,PT,Hosps
2021-05-08,SI,Hosps
2021-05-08,SK,Hosps
2021-05-10,AT,Hosps
2021-05-10,BE,Hosps
2021-05-10,BG,Hosps
2021-05-10,CH,Hosps
2021-05-10,CY,Hosps
2021-05-10,CZ,Hosps
2021-05-10,DE,Hosps
2021-05-10,DK,Hosps
2021-05-10,EE,Hosps
2021-05-10,ES,Hosps
2021-05-10,FI,Hosps
2021-05-10,FR,Hosps
2021-05-10,GB,Hosps
2021-05-10,GR,Hosps
2021-05-10,HR,Hosps
2021-05-10,HU,Hosps
2021-05-10,IE,Hosps
2021-05-10,IS,Hosps
2021-05-10,IT,Hosps
2021-05-10,LI,Hosps
2021-05-10,LT,Hosps
2021-05-10,LU,Hosps
2021-05-10,LV,Hosps
2021-05-10,MT,Hosps
2021-05-10,NL,Hosps
2021-05-10,NO,Hosps
2021-05-10,PL,Hosps
2021-05-10,PT,Hosps
2021-05-10,RO,Hosps
2021-05-10,SE,Hosps
2021-05-10,SI,Hosps
2021-05-10,SK,Hosps
2021-05-15,AT,Cases
2021-05-15,CY,Cases
2021-05-15,DE,Cases
2021-05-15,LI,Cases
2021-05-15,NL,Cases
2021-05-15,SK,Cases
2021-05-15,AT,Deaths
2021-05-15,FI,Deaths
2021-05-15,GB,Deaths
2021-05-15,BE,Hosps
2021-05-15,BG,Hosps
2021-05-15,CH,Hosps
2021-05-15,CY,Hosps
2021-05-15,CZ,Hosps
2021-05-15,DK,Hosps
2021-05-15,EE,Hosps
2021-05-15,ES,Hosps
2021-05-15,FR,Hosps
2021-05-15,GB,Hosps
2021-05-15,GR,Hosps
2021-05-15,HR,Hosps
2021-05-15,IE,Hosps
2021-05-15,IS,Hosps
2021-05-15,IT,Hosps
2021-05-15,LV,Hosps
2021-05-15,MT,Hosps
2021-05-15,NL,Hosps
2021-05-15,NO,Hosps
2021-05-15,PL,Hosps
2021-05-15,PT,Hosps
2021-05-15,SI,Hosps
2021-05-15,SK,Hosps
2021-05-17,AT,Hosps
2021-05-17,BE,Hosps
2021-05-17,BG,Hosps
2021-05-17,CH,Hosps
2021-05-17,CY,Hosps
2021-05-17,CZ,Hosps
2021-05-17,DE,Hosps
2021-05-17,DK,Hosps
2021-05-17,EE,Hosps
2021-05-17,ES,Hosps
2021-05-17,FI,Hosps
2021-05-17,FR,Hosps
2021-05-17,GB,Hosps
2021-05-17,GR,Hosps
2021-05-17,HR,Hosps
2021-05-17,HU,Hosps
2021-05-17,IE,Hosps
2021-05-17,IS,Hosps
2021-05-17,IT,Hosps
2021-05-17,LI,Hosps
2021-05-17,LT,Hosps
2021-05-17,LU,Hosps
2021-05-17,LV,Hosps
2021-05-17,MT,Hosps
2021-05-17,NL,Hosps
2021-05-17,NO,Hosps
2021-05-17,PL,Hosps
2021-05-17,PT,Hosps
2021-05-17,RO,Hosps
2021-05-17,SE,Hosps
2021-05-17,SI,Hosps
2021-05-17,SK,Hosps
2021-05-22,AT,Cases
2021-05-22,FR,Cases
2021-05-22,IE,Cases
2021-05-22,LI,Cases
2021-05-22,SK,Cases
2021-05-22,CH,Deaths
2021-05-22,CY,Deaths
2021-05-22,FI,Deaths
2021-05-22,FR,Deaths
2021-05-22,GB,Deaths
2021-05-22,IE,Deaths
2021-05-22,BE,Hosps
2021-05-22,BG,Hosps
2021-05-22,CH,Hosps
2021-05-22,CY,Hosps
2021-05-22,CZ,Hosps
2021-05-22,DK,Hosps
2021-05-22,EE,Hosps
2021-05-22,ES,Hosps
2021-05-22,FR,Hosps
2021-05-22,GB,Hosps
2021-05-22,GR,Hosps
2021-05-22,HR,Hosps
2021-05-22,IE,Hosps
2021-05-22,IS,Hosps
2021-05-22,IT,Hosps
2021-05-22,LV,Hosps
2021-05-22,MT,Hosps
2021-05-22,NL,Hosps
2021-05-22,NO,Hosps
2021-05-22,PL,Hosps
2021-05-22,PT,Hosps
2021-05-22,SI,Hosps
2021-05-22,SK,Hosps
2021-05-24,AT,Hosps
2021-05-24,BE,Hosps
2021-05-24,BG,Hosps
2021-05-24,CH,Hosps
2021-05-24,CY,Hosps
2021-05-24,CZ,Hosps
2021-05-24,DE,Hosps
2021-05-24,DK,Hosps
2021-05-24,EE,Hosps
2021-05-24,ES,Hosps
2021-05-24,FI,Hosps
2021-05-24,FR,Hosps
2021-05-24,GB,Hosps
2021-05-24,GR,Hosps
2021-05-24,HR,Hosps
2021-05-24,HU,Hosps
2021-05-24,IE,Hosps
2021-05-24,IS,Hosps
2021-05-24,IT,Hosps
2021-05-24,LI,Hosps
2021-05-24,LT,Hosps
2021-05-24,LU,Hosps
2021-05-24,LV,Hosps
2021-05-24,MT,Hosps
2021-05-24,NL,Hosps
2021-05-24,NO,Hosps
2021-05-24,PL,Hosps
2021-05-24,PT,Hosps
2021-05-24,RO,Hosps
2021-05-24,SE,Hosps
2021-05-24,SI,Hosps
2021-05-24,SK,Hosps
2021-05-29,CY,Cases
2021-05-29,FI,Cases
2021-05-29,IE,Cases
2021-05-29,IS,Cases
2021-05-29,LI,Cases
2021-05-29,SK,Cases
2021-05-29,AT,Deaths
2021-05-29,CY,Deaths
2021-05-29,FI,Deaths
2021-05-29,GB,Deaths
2021-05-29,IE,Deaths
2021-05-29,IS,Deaths
2021-05-29,BE,Hosps
2021-05-29,BG,Hosps
2021-05-29,CH,Hosps
2021-05-29,CY,Hosps
2021-05-29,CZ,Hosps
2021-05-29,DK,Hosps
2021-05-29,EE,Hosps
2021-05-29,ES,Hosps
2021-05-29,FR,Hosps
2021-05-29,GB,Hosps
2021-05-29,GR,Hosps
2021-05-29,HR,Hosps
2021-05-29,IE,Hosps
2021-05-29,IS,Hosps
2021-05-29,IT,Hosps
2021-05-29,LV,Hosps
2021-05-29,MT,Hosps
2021-05-29,NL,Hosps
2021-05-29,NO,Hosps
2021-05-29,PL,Hosps
2021-05-29,PT,Hosps
2021-05-29,SI,Hosps
2021-05-29,SK,Hosps
2021-05-31,AT,Hosps
2021-05-31,BE,Hosps
2021-05-31,BG,Hosps
2021-05-31,CH,Hosps
2021-05-31,CY,Hosps
2021-05-31,CZ,Hosps
2021-05-31,DE,Hosps
2021-05-31,DK,Hosps
2021-05-31,EE,Hosps
2021-05-31,ES,Hosps
2021-05-31,FI,Hosps
2021-05-31,FR,Hosps
2021-05-31,GB,Hosps
2021-05-31,GR,Hosps
2021-05-31,HR,Hosps
2021-05-31,HU,Hosps
2021-05-31,IE,Hosps
2021-05-31,IS,Hosps
2021-05-31,IT,Hosps
2021-05-31,LI,Hosps
2021-05-31,LT,Hosps
2021-05-31,LU,Hosps
2021-05-31,LV,Hosps
2021-05-31,MT,Hosps
2021-05-31,NL,Hosps
2021-05-31,NO,Hosps
2021-05-31,PL,Hosps
2021-05-31,PT,Hosps
2021-05-31,RO,Hosps
2021-05-31,SE,Hosps
2021-05-31,SI,Hosps
2021-05-31,SK,Hosps
2021-06-05,AT,Cases
2021-06-05,CY,Cases
2021-06-05,IE,Cases
2021-06-05,IS,Cases
2021-06-05,NL,Cases
2021-06-05,SK,Cases
2021-06-05,AT,Deaths
2021-06-05,CH,Deaths
2021-06-05,CY,Deaths
2021-06-05,DE,Deaths
2021-06-05,FI,Deaths
2021-06-05,GB,Deaths
2021-06-05,IE,Deaths
2021-06-05,BE,Hosps
2021-06-05,BG,Hosps
2021-06-05,CH,Hosps
2021-06-05,CY,Hosps
2021-06-05,CZ,Hosps
2021-06-05,DK,Hosps
2021-06-05,EE,Hosps
2021-06-05,ES,Hosps
2021-06-05,FR,Hosps
2021-06-05,GB,Hosps
2021-06-05,GR,Hosps
2021-06-05,HR,Hosps
2021-06-05,IE,Hosps
2021-06-05,IS,Hosps
2021-06-05,IT,Hosps
2021-06-05,LV,Hosps
2021-06-05,MT,Hosps
2021-06-05,NL,Hosps
2021-06-05,NO,Hosps
2021-06-05,PL,Hosps
2021-06-05,PT,Hosps
2021-06-05,SI,Hosps
2021-06-05,SK,Hosps
2021-06-07,AT,Hosps
2021-06-07,BE,Hosps
2021-06-07,BG,Hosps
2021-06-07,CH,Hosps
2021-06-07,CY,Hosps
2021-06-07,CZ,Hosps
2021-06-07,DE,Hosps
2021-06-07,DK,Hosps
2021-06-07,EE,Hosps
2021-06-07,ES,Hosps
2021-06-07,FI,Hosps
2021-06-07,FR,Hosps
2021-06-07,GB,Hosps
2021-06-07,GR,Hosps
2021-06-07,HR,Hosps
2021-06-07,HU,Hosps
2021-06-07,IE,Hosps
2021-06-07,IS,Hosps
2021-06-07,IT,Hosps
2021-06-07,LI,Hosps
2021-06-07,LT,Hosps
2021-06-07,LU,Hosps
2021-06-07,LV,Hosps
2021-06-07,MT,Hosps
2021-06-07,NL,Hosps
